Company Name,Title,Description,Location,Started On,Finished On
Wiley,Engenheiro de suporte de software,"I work as a Software Support Engineer at Wiley, focusing on technical support for enterprise applications, ensuring the stability, reliability, and operational continuity of internal platforms for publication, licensing, and payment. I have solid experience in L2 support, investigating and resolving complex production incidents related to orders, quotes, payments, invoices, and system integrations, with a strong analytical mindset and a root-cause–driven approach. Key responsibilities and contributions:  - Providing technical support for web applications and distributed systems, acting directly on production incidents.  - Performing analysis and troubleshooting using application logs, Kibana, SQL queries, and operational data.  - Supporting internal platforms for publication, licensing, and payment, ensuring business continuity and data integrity.  - Managing incidents and service requests end-to-end through Jira Service Management (JSM), maintaining high-quality documentation, proper categorization, and SLA compliance.  - Communicating clearly with global Engineering, Product, QA, and Business teams, handling escalations and tracking fixes through resolution.  - Supporting production releases and changes, monitoring alerts, service degradation, and potential customer impact.  - Producing root cause analyses (RCA) and identifying systemic improvement opportunities.  - Creating and maintaining technical documentation, including runbooks and troubleshooting guides.  - Contributing to the continuous improvement of support processes, reducing incident recurrence, and increasing platform reliability.  Tech stack & skills: Application Support; Troubleshooting; SQL; Kibana; Jira Service Management; Log Analysis; Production Incidents; Technical Communication; Global Enterprise Environments","Santos, São Paulo, Brazil",Jul 2024,
Venturus,Senior Development Analyst,"As a Senior Development Analyst allocated to Ingenico's Support Team, I am providing support for technical issues for all solutions created by Ingenico. My main role is to guide third-party developers or partners based on Ingenico's development documentation, certifications, and hardware. Apart from that, I'm always delivering enhancements to that documentation whenever necessary.","Campias, São Paulo",Jun 2023,Jul 2024
Anheuser-Busch InBev,Senior Operations Analyst,"As a Support and Operation Analyst for the BEES Care team, I acted as the technical leader of an initial group of 3 people, evolving into a team of 9 after a year of growth. I supported technical questions and requirements gathering for new developments when necessary. In addition, I was responsible for providing training to support agents in the country operation and answering questions about the usability of the Zendesk platform, as well as other applications developed by the BEES teams. The main objective was to guarantee internal customer satisfaction, helping with improvements, and support some technical activations of the tools used. Initially, I was in charge of the Mexico, South Africa, Tanzania, and Uganda areas. Presenting progress reports on improvements and support provided every two weeks. After a structure change in the management of the team in 2023, I was responsible for supporting all the team members I was part of, helping to maintain all the other countries where BEES Care was.  The technologies used in this period were: Python; Java; JavaScript; SQLserver; Sunshine Zendesk; Zendesk; Jira and Confluence; Trello;","Curitiba, Paraná, Brasil",Oct 2021,Mar 2023
CrossKnowledge do Brasil,Senior Support Analyst,"As a Senior Support Analyst, I provided support for technical issues for all solutions created by CrossKnowledge. I acted as technical leader of a support team of 3 people, assisting in more complex cases in order to deliver a solution within the established SLAs. I was involved in collecting requirements for new developments with the customer's technical team. Likewise, I worked numerous times in contact with the customer to perform troubleshooting and gather more technical details that help in the analysis of problems, and/or, to solve and guide usability doubts in the operation. Therefore, as I was in frequent contact with high-demand customers who brought feedback on the tools, I proactively worked with internal teams (such as the Product Team, Developers, QAs, Integration) in order to connect and relate the technical teams, Customer Satisfaction and the Customer in a subtle and intelligent way.  The technologies used in this period were: CKLS; SalesForce; JIRA and Confluence; Postman; Python; MongoDB; Microsoft Office package; Android and iOS systems; Java; JavaScript; HTML; Django; .NET; C#.","Curitiba e Região, Brasil",Aug 2015,Oct 2021
Grupo Educacional Expoente,Senior Information Technology Consultant,"As a Senior Information Technology Consultant, my responsibility was to organize and develop playful plans with teachers and students. The main objective was to assist in the creation of educational projects in which students and teachers would translate classroom content into interactive dioramas using robotics and recycled materials. It was also my responsibility to support educational systems such as EUREKA, SGA, IT equipment and peripherals used at the Boa Vista unit in Curitiba. Moreover, suggest improvements and reformulate materials and methods related to Educational Robotics offered by the institution.  Technologies used in this period: EUREKA; SGA; CCTV system; network hubs and spots; ICT developed by the Expoente group; printing and scanning peripherals.","Curitiba e Região, Brasil",Sep 2014,Apr 2015
Stefanini,Support analyst,"As a local Support Analyst, I worked allocated to the client Schincariol by the company Stefanini, being responsible for the infrastructure of the PoD (Point of Distribution) Curitiba. I was responsible for local IT administration, support, improvement projects, and problem prevention. The main objective was to guarantee the proper functioning of the PDA sales equipment, in addition to keeping the invoice printer infrastructure in perfect working order. It was my responsibility to manage IT supplies and contact third-party support for the various PoD technologies. Delivered weekly reports of activities performed in the PoD Curitiba to the headquarters in Itu, São Paulo. Provided technical training in relation to the usability of the software and hardware used.  The technologies used in this period were: Motorola PDA; SAP; WMS; TMS; PABX; CCTV system; Windows and Android operating systems; GPS systems; printing and scanning peripherals; network hubs and spots; Microsoft Office package; AccessDB; 3G networks by Claro.","Curitiba e Região, Brasil",Apr 2012,Aug 2014
ICI - Instituto Curitiba de Informática,Technical Support Specialist,"As a Technical Support Specialist, I worked in 4 different locations. These are the Delta building with the secretariats of the city of Curitiba; the city hall building of Curitiba itself; the headquarters of the ICI and; finally, Rua da Cidadania de Santa Felicidade where the most used secretariats are available to the local population.  As a primary role, my goal was to provide support to users of equipment approved by the City Hall and ICI, both hardware and software, in addition to instructing users in their use. After four months of effective work, I was delegated the position of Technical Instructor, aiming to train the new members of the group to use and install systems according to the company's standards.  The technologies used in this period were: Windows and Linux operating systems; ICT developed by ICI; SQL database installation and configuration; Microsoft Office suites; installation of hubs, spots, and central backbone; backup servers; PBX and various peripherals.","Curitiba e Região, Brasil",Jan 2010,Jan 2012
