School Name,Start Date,End Date,Notes,Degree Name,Activities
Universidade Positivo,2018,2018,,Especialização,
Universidade Positivo,2015,2016,,Especialização,
Unidade de Ensino Superior Expoente,2008,2013,,Bacharelado,"Aluno desenvolvedor do projeto Empresa Junior, com foco em desenvolver uma solução educacional sobre robótica e sustentabilidade, somando a necessidade de atualizar a tecnologia de ensino através da robótica educacional, foi desenvolvido uma solução com dois sistemas open source e criado manuais para utilização da solução proposta."
