Saved Date,Job Url,Job Title,Company Name
"4/8/23, 10:08 AM",http://www.linkedin.com/jobs/view/3551160909,Supervisão de Treinamentos e Pesquisa (Pós-Vendas),Electrolux Group
"3/18/26, 12:55 AM",http://www.linkedin.com/jobs/view/4258060670,Analista de Suporte de TI - Trabalho Remoto | REF#284183,BairesDev
"3/13/26, 5:44 PM",http://www.linkedin.com/jobs/view/4384281010,"Manager, Technical Support",RemoteHunter
"4/3/23, 6:42 PM",http://www.linkedin.com/jobs/view/3426389610,Advanced Technical Support Specialist,Cornerstone OnDemand
"3/21/23, 4:50 PM",http://www.linkedin.com/jobs/view/3537853801,Trainer,Wiley
"12/24/18, 8:03 AM",http://www.linkedin.com/jobs/view/1017529636,Analista Sistemas PL,Grupo Marista
